id;channel;auto_pay_id;debit_date;status
1;teal extensible Producer;80566;2021-07-13;Car
2;productize User;31948;2021-07-13;compressing front-end Bosnia
3;Motorway Cotton;98138;2021-07-14;Investment
4;Market strategize Optimization;57009;2021-07-13;port
5;compressing;91595;2021-07-14;generation
6;Computer;30135;2021-07-13;Buckinghamshire optimal
7;withdrawal;17986;2021-07-14;Optional
8;real-time;12316;2021-07-14;bypassing
9;Multi-lateral Guam Euro;37329;2021-07-13;invoice Marketing
10;COM SQL 1080p;38947;2021-07-14;bypass visionary
