id;bill_arrangement_id;statement_acc_no;bill_acc_no;due_date;cycle_date;promise_to_pay_date;start_date;status;created_date;status_date;status_reason;statement_format_id
1;16510;25092;13671;2021-07-13;2021-07-13;2021-07-14;2021-07-14;neural wireless;2021-07-14T00:10:47;2021-07-13;fault-tolerant;Stand-alone
2;59562;42881;54382;2021-07-14;2021-07-14;2021-07-14;2021-07-14;object-oriented Rustic;2021-07-14T11:37:00;2021-07-13;functionalities Slovenia frictionless;Licensed payment Organic
3;26696;88679;18156;2021-07-14;2021-07-13;2021-07-14;2021-07-14;programming;2021-07-14T08:58:00;2021-07-13;Georgia SMTP;architect
4;78914;8352;43856;2021-07-13;2021-07-13;2021-07-14;2021-07-13;parsing Account HDD;2021-07-14T13:24:37;2021-07-14;synergies deliverables;e-markets calculating Investment
5;30820;24200;43032;2021-07-13;2021-07-14;2021-07-14;2021-07-13;Dynamic;2021-07-13T16:46:08;2021-07-14;hub;Hat Sheqel
6;15577;45245;71986;2021-07-13;2021-07-13;2021-07-14;2021-07-13;Group Security Synchronised;2021-07-13T15:21:26;2021-07-13;(Vatican;secondary synergistic
7;71999;36459;69478;2021-07-13;2021-07-14;2021-07-13;2021-07-13;Cotton;2021-07-13T22:51:53;2021-07-13;Kyat executive;Handmade Lead Toys
8;89463;56381;40646;2021-07-14;2021-07-14;2021-07-13;2021-07-14;drive Rufiyaa;2021-07-14T01:40:59;2021-07-13;Account Engineer navigating;global
9;73245;35;46854;2021-07-14;2021-07-14;2021-07-13;2021-07-14;Direct mint pink;2021-07-14T06:58:23;2021-07-14;Alaska port;Tools Music Meadows
10;7566;20557;11073;2021-07-14;2021-07-13;2021-07-14;2021-07-13;Metal black;2021-07-14T02:57:27;2021-07-13;encryption directional;Human Mouse
