id;amount_due;bill_date;bill_no;billing_period;category;href;last_updated_date;next_updated_date;payment_due_date;state;tax_excluded_amount;tax_included_amount
1;67342;2021-07-13T22:12:50;58318;2021-07-13T20:50:12;Pound Regional redundant;input;2021-07-13T22:34:23;2021-07-13T19:57:28;2021-07-14T06:01:13;Sausages disintermediate Handcrafted;68842;34241
2;72612;2021-07-14T11:25:59;85622;2021-07-13T18:05:35;Kentucky Ball;Malaysian;2021-07-13T14:13:04;2021-07-13T14:30:37;2021-07-13T13:37:45;dedicated XML;95130;52473
3;32541;2021-07-13T19:38:58;56995;2021-07-14T01:53:19;up clicks-and-mortar Georgia;Manager;2021-07-13T23:18:58;2021-07-14T01:26:31;2021-07-13T19:49:52;Switchable;50796;85664
4;29190;2021-07-13T13:57:39;8191;2021-07-14T06:53:37;1080p leading-edge Dynamic;service-desk;2021-07-14T12:24:37;2021-07-14T08:53:39;2021-07-13T19:27:52;panel Villages Concrete;73152;38469
5;5083;2021-07-13T18:42:03;70692;2021-07-14T01:36:49;Mexico Rubber;Keyboard;2021-07-13T23:29:26;2021-07-13T21:53:29;2021-07-14T00:24:36;IB Granite Personal;65884;69013
6;78578;2021-07-14T03:09:43;97519;2021-07-14T05:50:31;Guyana world-class Metal;Liaison neural-net navigate;2021-07-14T13:10:10;2021-07-14T09:10:39;2021-07-14T04:11:24;cross-platform;50782;56378
7;73658;2021-07-14T10:28:20;94344;2021-07-14T05:49:26;compressing;Paradigm;2021-07-13T20:55:14;2021-07-13T20:09:07;2021-07-13T18:22:10;HTTP Nakfa;76735;21946
8;81046;2021-07-13T19:37:50;48879;2021-07-14T00:43:06;indexing;compressing;2021-07-13T15:23:59;2021-07-13T23:01:20;2021-07-14T12:18:51;Steel;18475;68497
9;3935;2021-07-14T09:08:43;92170;2021-07-14T08:08:54;Intranet GB hacking;USB Mississippi;2021-07-13T15:55:39;2021-07-13T15:01:04;2021-07-14T01:47:49;Assistant;65364;81448
10;49153;2021-07-14T05:58:55;70216;2021-07-13T21:58:30;Ball;Innovative Soft;2021-07-14T10:23:58;2021-07-13T16:22:43;2021-07-14T00:36:43;Garden;77818;63549
