id;name;value;value_type
1;Research;Granite;Tennessee Loan Wooden
2;matrix;Lebanese;Frozen Savings Loan
3;Rial Universal Intelligent;online;Dollar
4;PCI ability;synthesizing;backing Nevada Soft
5;protocol Engineer unleash;programming;bypassing Unbranded
6;Finland interactive Alabama;zero;Automotive
7;Total Account;Markets payment Man;Account Cheese relationships
8;Account generation;CSS Michigan Courts;AGP
9;Soft Strategist Uzbekistan;AGP;Designer Outdoors
10;impactful grey;24/365 ability syndicate;Arizona Buckinghamshire Directives
