id;name;value;value_type
1;Tasty;Steel Automotive;Berkshire
2;Metal Cotton Incredible;Sausages quantifying Chicken;France
3;Virginia;bandwidth;web-readiness
4;expedite service-desk;Massachusetts Switchable Legacy;Papua JBOD
5;primary;defect Awesome;invoice Bahrain
6;connect;solutions;Loan withdrawal
7;salmon Developer middleware;open-source Metal Customer;synthesizing
8;Supervisor TCP California;out-of-the-box 1080p multi-byte;parallelism Operations
9;back Plain Engineer;Mobility deposit Movies;New
10;compressing technologies;Vermont;models Rubber
