id;name;role_id;valid_from;valid_to
1;Taka;9575;2021-07-13T19:36:45;2021-07-13T14:52:24
2;Soft deposit;24451;2021-07-14T08:51:38;2021-07-14T04:58:16
3;indexing overriding panel;64405;2021-07-13T15:10:42;2021-07-14T12:56:32
4;hybrid blue Toys;49740;2021-07-13T17:20:13;2021-07-14T00:07:50
5;virtual Carolina feed;70372;2021-07-13T21:05:07;2021-07-13T15:15:14
6;monitoring Bike attitude;88435;2021-07-14T04:41:13;2021-07-13T15:04:47
7;deposit Intelligent Credit;70874;2021-07-13T23:01:42;2021-07-14T02:26:51
8;New;73796;2021-07-14T12:59:38;2021-07-14T00:41:18
9;Shoes black;9257;2021-07-13T21:50:38;2021-07-13T16:38:45
10;Buckinghamshire;58113;2021-07-13T21:49:35;2021-07-14T02:10:05
