id;name;value;value_type
1;Supervisor Concrete Andorra;deposit;Chicken Forge
2;Street Clothing;users;SSL
3;Down-sized neural Plastic;Generic Texas;Plastic Directives
4;overriding;plug-and-play;Card Steel transparent
5;Human;Towels Netherlands;Product Route
6;SSL TCP;Markets Synergistic copy;payment
7;parse Networked;back online;Chief Steel Branding
8;solutions;Barbados;sticky Idaho green
9;vortals Buckinghamshire;Executive;Investor Baby quantify
10;Security sexy incremental;Kids;California Metal Facilitator
