id;name;value;valuetype
1;Human Account Licensed;Awesome;up directional responsive
2;Cameroon Serbia;Dynamic AI;Berkshire SQL Kyat
3;Account;Denmark;connecting Ouguiya
4;digital Product Palau;withdrawal withdrawal;Sports
5;Right-sized migration Ohio;Awesome;Coordinator
6;Infrastructure Awesome;Assistant;capacitor Account Shirt
7;Card;Hong black;PCI Synergized
8;salmon haptic virtual;Sleek;Soft SAS Ball
9;drive Buckinghamshire Steel;Parkways open-source;red azure
10;Fresh help-desk;alarm;invoice
