id;preferred;type;valid_from;valid_to
1;Facilitator;user Solomon;2021-07-14T09:09:43;2021-07-14T00:30:21
2;Legacy Minnesota grey;Bedfordshire;2021-07-13T21:43:49;2021-07-14T13:19:22
3;Creative Division;web;2021-07-14T11:34:57;2021-07-14T08:57:15
4;salmon Checking;mission-critical pixel Riel;2021-07-13T18:13:25;2021-07-13T18:58:50
5;compressing;Tennessee Tasty Investment;2021-07-14T04:06:03;2021-07-14T09:32:24
6;Principal;Central RSS;2021-07-14T04:15:49;2021-07-13T13:54:08
7;Walk Minnesota;web-enabled AGP frame;2021-07-13T19:26:00;2021-07-14T11:31:04
8;Account value-added Loan;markets Internal;2021-07-14T08:22:08;2021-07-14T11:16:54
9;EXE Pre-emptive;channels;2021-07-14T04:34:54;2021-07-13T14:26:08
10;calculating uniform;invoice Plastic;2021-07-14T11:25:57;2021-07-13T20:16:04
