id;href;shopping_session_id;status;session_abondoned;channel;user_id
1;frictionless;contextually-based Extended;black Shores;false;front-end Dirham;53382
2;leading-edge target Avon;invoice payment Beauty;real-time District;true;Buckinghamshire;26823
3;Chicken Avon wireless;generation Monitored;haptic;false;XSS;67663
4;Auto Yemen 1080p;withdrawal Zambian;Grove Oregon;false;calculating Generic redundant;86856
5;Views;Taka index Hat;Refined bandwidth Health;true;pixel Account methodical;82986
6;Credit auxiliary Account;Cotton multi-byte Taiwan;green CSS;true;payment;25107
7;Clothing Intelligent Gardens;open methodical Granite;Coordinator HDD;false;EXE Bedfordshire Communications;49900
8;Fish;Unbranded Maine complexity;Center;true;Research Yemen;89148
9;Mauritius Handcrafted;program;Loan PNG Mandatory;false;dedicated payment;56071
10;enhance;Rhode green;innovative;true;interface;12417
